"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents
,,,,,,,,
12855,,120,50,60,0,80,220,40
12855,"$1 under $25,000",40,50,**,0,30,60,**
12855,"$25,000 under $50,000",50,**,40,0,30,100,40
12855,"$50,000 under $75,000",**,**,**,0,**,**,**
12855,"$75,000 under $100,000",30,**,20,0,20,60,**
12855,"$100,000 under $200,000",**,**,**,0,**,**,**
12855,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
12857,,270,120,110,20,130,490,110
12857,"$1 under $25,000",110,70,**,20,40,140,30
12857,"$25,000 under $50,000",70,50,50,**,40,140,30
12857,"$50,000 under $75,000",40,**,40,0,30,100,30
12857,"$75,000 under $100,000",20,**,**,**,**,40,20
12857,"$100,000 under $200,000",30,**,20,**,20,70,**
12857,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12859,,"1,030",460,430,130,490,"1,950",600
12859,"$1 under $25,000",320,240,30,50,120,370,100
12859,"$25,000 under $50,000",260,130,70,50,120,460,140
12859,"$50,000 under $75,000",170,60,80,30,90,370,120
12859,"$75,000 under $100,000",110,30,90,**,60,260,70
12859,"$100,000 under $200,000",150,**,160,**,100,440,170
12859,"$200,000 or more",20,**,**,**,**,50,**
,,,,,,,,
12860,,360,190,140,30,170,640,170
12860,"$1 under $25,000",150,100,30,30,60,220,60
12860,"$25,000 under $50,000",110,60,40,**,50,190,50
12860,"$50,000 under $75,000",50,30,40,**,30,100,30
12860,"$75,000 under $100,000",20,**,**,0,**,50,30
12860,"$100,000 under $200,000",30,**,30,**,30,80,**
12860,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12861,,280,130,130,20,180,500,120
12861,"$1 under $25,000",100,70,40,20,50,120,40
12861,"$25,000 under $50,000",50,30,**,**,30,80,**
12861,"$50,000 under $75,000",40,30,20,**,30,90,50
12861,"$75,000 under $100,000",40,**,30,**,30,90,**
12861,"$100,000 under $200,000",50,**,40,**,40,120,30
12861,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12863,,360,170,140,40,180,690,210
12863,"$1 under $25,000",120,90,20,**,50,120,20
12863,"$25,000 under $50,000",70,40,**,40,30,130,50
12863,"$50,000 under $75,000",50,40,20,**,30,90,20
12863,"$75,000 under $100,000",40,**,30,**,30,110,30
12863,"$100,000 under $200,000",80,**,70,**,40,240,90
12863,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12865,,"1,560",730,640,160,850,"2,850",740
12865,"$1 under $25,000",590,390,110,70,290,830,210
12865,"$25,000 under $50,000",410,220,120,60,210,740,210
12865,"$50,000 under $75,000",240,70,150,30,150,530,140
12865,"$75,000 under $100,000",150,50,110,**,90,330,70
12865,"$100,000 under $200,000",140,**,120,**,90,350,90
12865,"$200,000 or more",30,**,30,0,20,70,20
,,,,,,,,
12866,,"19,760","10,570","7,420","1,430","10,340","34,110","8,410"
12866,"$1 under $25,000",5520,4560,450,450,2480,5530,1020
12866,"$25,000 under $50,000",3850,2670,680,390,1640,5560,1050
12866,"$50,000 under $75,000",2770,1610,870,220,1350,4580,940
12866,"$75,000 under $100,000",2050,800,1060,150,1160,4010,900
12866,"$100,000 under $200,000",3750,710,2830,160,2300,9240,2660
12866,"$200,000 or more",1820,220,1530,60,1410,5190,1840
,,,,,,,,
12870,,810,370,360,50,410,"1,520",410
12870,"$1 under $25,000",300,200,50,50,130,410,110
12870,"$25,000 under $50,000",230,100,120,**,110,500,160
12870,"$50,000 under $75,000",110,40,60,**,60,220,50
12870,"$75,000 under $100,000",70,30,50,**,40,160,40
12870,"$100,000 under $200,000",80,**,80,**,70,170,50
12870,"$200,000 or more",20,**,**,0,**,60,**
,,,,,,,,
12871,,"1,990","1,020",740,230,980,"3,700","1,110"
12871,"$1 under $25,000",660,520,70,80,270,770,200
12871,"$25,000 under $50,000",510,320,100,80,230,860,250
12871,"$50,000 under $75,000",290,110,150,40,160,640,190
12871,"$75,000 under $100,000",220,50,140,30,120,500,140
12871,"$100,000 under $200,000",270,20,240,**,160,800,280
12871,"$200,000 or more",40,**,40,**,40,130,50
,,,,,,,,
12873,,370,170,160,30,230,660,150
12873,"$1 under $25,000",120,90,20,**,70,150,30
12873,"$25,000 under $50,000",90,40,30,30,50,160,30
12873,"$50,000 under $75,000",70,40,60,**,50,150,50
12873,"$75,000 under $100,000",30,**,**,**,20,60,**
12873,"$100,000 under $200,000",60,**,50,**,40,140,40
12873,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12878,,320,170,120,30,200,560,130
12878,"$1 under $25,000",120,90,**,30,70,150,30
12878,"$25,000 under $50,000",100,50,50,**,60,170,40
12878,"$50,000 under $75,000",40,30,30,**,30,100,30
12878,"$75,000 under $100,000",40,**,40,0,40,90,30
12878,"$100,000 under $200,000",20,**,**,**,**,50,**
12878,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12883,,"2,270","1,100",820,310,"1,360","4,050","1,200"
12883,"$1 under $25,000",920,660,110,150,460,1160,330
12883,"$25,000 under $50,000",530,260,160,100,350,990,300
12883,"$50,000 under $75,000",340,130,160,40,230,670,180
12883,"$75,000 under $100,000",210,30,160,20,140,540,180
12883,"$100,000 under $200,000",240,20,210,**,160,630,210
12883,"$200,000 or more",30,**,20,**,20,60,**
,,,,,,,,
12885,,"2,130","1,090",760,250,"1,100","3,740","1,000"
12885,"$1 under $25,000",900,630,130,130,410,1230,330
12885,"$25,000 under $50,000",570,310,160,90,290,980,260
12885,"$50,000 under $75,000",300,100,180,30,160,650,180
12885,"$75,000 under $100,000",190,50,140,**,110,450,120
12885,"$100,000 under $200,000",150,**,150,**,130,380,110
12885,"$200,000 or more",20,**,**,0,**,50,**
,,,,,,,,
12886,,130,50,50,0,70,230,70
12886,"$1 under $25,000",60,50,30,0,30,70,**
12886,"$25,000 under $50,000",40,**,**,0,40,80,40
12886,"$50,000 under $75,000",**,**,**,0,**,**,**
12886,"$75,000 under $100,000",30,**,20,0,**,80,30
12886,"$100,000 under $200,000",**,**,**,0,**,**,**
12886,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
12887,,"2,130",990,810,280,"1,030","4,090","1,260"
12887,"$1 under $25,000",830,540,130,150,350,1260,420
12887,"$25,000 under $50,000",570,290,170,90,260,1070,320
12887,"$50,000 under $75,000",320,100,180,40,170,710,210
12887,"$75,000 under $100,000",220,60,170,**,130,550,160
12887,"$100,000 under $200,000",190,**,160,**,120,500,150
12887,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12901,,"14,220","7,780","4,470","1,670","5,500","24,160","6,260"
12901,"$1 under $25,000",5530,4140,550,770,1610,6970,1680
12901,"$25,000 under $50,000",3800,2310,760,590,1320,6130,1580
12901,"$50,000 under $75,000",1920,860,810,190,880,3620,890
12901,"$75,000 under $100,000",1230,280,850,80,620,2790,710
12901,"$100,000 under $200,000",1430,150,1240,40,820,3820,1150
12901,"$200,000 or more",310,40,260,**,250,830,250
,,,,,,,,
12903,,840,460,260,80,430,"1,330",240
12903,"$1 under $25,000",190,150,20,**,80,210,30
12903,"$25,000 under $50,000",230,140,40,50,110,330,60
12903,"$50,000 under $75,000",170,100,50,30,90,270,40
12903,"$75,000 under $100,000",110,40,50,**,60,200,40
12903,"$100,000 under $200,000",110,30,100,**,90,250,50
12903,"$200,000 or more",30,**,**,**,**,70,20
,,,,,,,,
12910,,740,320,320,90,340,"1,440",420
12910,"$1 under $25,000",270,170,50,40,110,380,100
12910,"$25,000 under $50,000",210,100,60,50,80,400,130
12910,"$50,000 under $75,000",110,50,70,**,60,250,70
12910,"$75,000 under $100,000",90,**,80,**,50,240,70
12910,"$100,000 under $200,000",60,**,60,**,40,170,50
12910,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12912,,990,420,420,130,400,"1,800",470
12912,"$1 under $25,000",370,250,70,40,120,490,110
12912,"$25,000 under $50,000",300,120,100,70,120,560,170
12912,"$50,000 under $75,000",170,50,110,20,70,350,80
12912,"$75,000 under $100,000",80,**,70,**,40,210,60
12912,"$100,000 under $200,000",70,**,70,**,50,190,50
12912,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12913,,540,250,230,60,200,970,250
12913,"$1 under $25,000",180,140,**,**,50,200,30
12913,"$25,000 under $50,000",150,80,60,60,50,250,60
12913,"$50,000 under $75,000",80,30,50,**,40,160,40
12913,"$75,000 under $100,000",60,**,50,**,20,160,50
12913,"$100,000 under $200,000",70,**,70,**,40,200,70
12913,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12914,,320,130,120,60,170,670,230
12914,"$1 under $25,000",130,70,20,30,50,210,70
12914,"$25,000 under $50,000",90,40,30,30,40,190,70
12914,"$50,000 under $75,000",50,20,20,**,40,120,40
12914,"$75,000 under $100,000",30,**,30,0,40,90,30
12914,"$100,000 under $200,000",20,**,20,**,**,60,20
12914,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12916,,930,410,380,140,550,"1,880",610
12916,"$1 under $25,000",370,220,70,80,180,580,190
12916,"$25,000 under $50,000",280,140,90,60,160,550,180
12916,"$50,000 under $75,000",140,50,90,**,100,330,100
12916,"$75,000 under $100,000",80,**,70,**,60,230,70
12916,"$100,000 under $200,000",60,**,60,0,50,190,70
12916,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12917,,590,240,270,80,410,"1,270",450
12917,"$1 under $25,000",220,140,50,30,150,320,90
12917,"$25,000 under $50,000",140,60,50,30,90,320,130
12917,"$50,000 under $75,000",100,40,60,20,70,250,100
12917,"$75,000 under $100,000",70,**,60,**,50,210,80
12917,"$100,000 under $200,000",60,**,50,**,50,170,50
12917,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12918,,"1,130",510,510,120,570,"2,150",570
12918,"$1 under $25,000",350,250,60,40,140,450,100
12918,"$25,000 under $50,000",310,180,80,50,130,500,110
12918,"$50,000 under $75,000",180,60,110,30,100,380,90
12918,"$75,000 under $100,000",120,20,100,**,80,310,90
12918,"$100,000 under $200,000",170,**,160,**,120,510,180
12918,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12919,,"1,580",730,610,200,770,"3,010",880
12919,"$1 under $25,000",580,380,110,80,240,830,220
12919,"$25,000 under $50,000",420,220,100,80,190,750,230
12919,"$50,000 under $75,000",250,80,140,40,130,570,170
12919,"$75,000 under $100,000",170,50,120,**,110,420,130
12919,"$100,000 under $200,000",160,**,140,**,100,440,130
12919,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12920,,"1,060",430,460,170,730,"2,050",600
12920,"$1 under $25,000",350,220,60,70,210,490,140
12920,"$25,000 under $50,000",290,130,100,60,200,540,160
12920,"$50,000 under $75,000",180,50,100,40,130,380,100
12920,"$75,000 under $100,000",110,30,80,**,90,260,70
12920,"$100,000 under $200,000",130,**,120,**,100,380,130
12920,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12921,,"1,280",650,490,130,650,"2,250",610
12921,"$1 under $25,000",450,360,40,40,230,500,100
12921,"$25,000 under $50,000",310,180,70,60,130,510,140
12921,"$50,000 under $75,000",190,70,90,30,100,360,80
12921,"$75,000 under $100,000",140,40,110,**,80,330,90
12921,"$100,000 under $200,000",160,**,150,**,90,470,170
12921,"$200,000 or more",30,**,30,0,20,80,30
,,,,,,,,
12923,,220,90,100,20,130,440,120
12923,"$1 under $25,000",80,50,**,20,40,110,**
12923,"$25,000 under $50,000",70,40,50,**,40,140,60
12923,"$50,000 under $75,000",30,**,20,**,20,80,40
12923,"$75,000 under $100,000",20,**,30,**,30,50,**
12923,"$100,000 under $200,000",20,**,**,**,**,60,20
12923,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
12926,,900,390,370,120,510,"1,760",520
12926,"$1 under $25,000",370,230,80,60,180,580,160
12926,"$25,000 under $50,000",260,110,90,60,140,490,140
12926,"$50,000 under $75,000",150,50,90,**,90,330,100
12926,"$75,000 under $100,000",60,**,50,**,50,170,50
12926,"$100,000 under $200,000",60,**,60,**,50,190,70
12926,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12928,,890,400,370,110,600,"1,710",510
12928,"$1 under $25,000",300,200,50,50,170,430,130
12928,"$25,000 under $50,000",250,130,70,60,170,430,120
12928,"$50,000 under $75,000",140,70,80,**,100,300,90
12928,"$75,000 under $100,000",100,**,80,**,80,270,90
12928,"$100,000 under $200,000",100,**,90,**,80,280,80
12928,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12930,,290,130,120,50,190,550,170
12930,"$1 under $25,000",110,80,20,**,70,150,30
12930,"$25,000 under $50,000",80,50,30,50,50,160,60
12930,"$50,000 under $75,000",50,**,30,**,30,90,20
12930,"$75,000 under $100,000",30,**,20,**,40,80,30
12930,"$100,000 under $200,000",20,**,20,0,**,70,30
12930,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12932,,620,310,240,60,340,"1,060",250
12932,"$1 under $25,000",230,170,30,20,110,270,60
12932,"$25,000 under $50,000",170,80,50,40,90,290,70
12932,"$50,000 under $75,000",90,30,60,**,60,190,40
12932,"$75,000 under $100,000",60,30,40,**,40,130,30
12932,"$100,000 under $200,000",70,**,60,**,40,180,50
12932,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12934,,420,170,200,50,230,840,240
12934,"$1 under $25,000",150,90,40,30,90,240,70
12934,"$25,000 under $50,000",110,50,50,20,50,240,80
12934,"$50,000 under $75,000",70,30,40,**,40,140,30
12934,"$75,000 under $100,000",50,**,40,**,50,120,30
12934,"$100,000 under $200,000",40,**,30,0,**,100,30
12934,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12935,,670,280,290,90,370,"1,280",370
12935,"$1 under $25,000",220,140,50,30,110,320,90
12935,"$25,000 under $50,000",190,100,50,60,90,340,110
12935,"$50,000 under $75,000",110,40,60,**,70,230,60
12935,"$75,000 under $100,000",70,**,60,**,50,170,40
12935,"$100,000 under $200,000",80,**,70,**,50,220,70
12935,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12936,,320,160,120,30,150,550,120
12936,"$1 under $25,000",120,90,30,**,50,150,30
12936,"$25,000 under $50,000",70,40,**,30,30,130,30
12936,"$50,000 under $75,000",50,30,30,**,40,100,30
12936,"$75,000 under $100,000",30,**,20,**,**,80,30
12936,"$100,000 under $200,000",50,**,40,0,30,90,**
12936,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12937,,560,240,240,80,350,"1,180",390
12937,"$1 under $25,000",230,150,40,40,130,360,110
12937,"$25,000 under $50,000",140,60,60,40,80,320,120
12937,"$50,000 under $75,000",90,30,60,**,60,240,80
12937,"$75,000 under $100,000",50,**,30,**,40,110,40
12937,"$100,000 under $200,000",50,**,50,0,40,150,40
12937,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12941,,650,290,310,40,300,"1,210",310
12941,"$1 under $25,000",220,160,50,**,80,240,30
12941,"$25,000 under $50,000",170,80,60,40,80,340,110
12941,"$50,000 under $75,000",110,50,70,**,60,270,80
12941,"$75,000 under $100,000",70,**,60,**,30,170,40
12941,"$100,000 under $200,000",80,**,70,**,50,190,50
12941,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12942,,330,160,140,0,180,570,120
12942,"$1 under $25,000",110,80,**,0,50,120,**
12942,"$25,000 under $50,000",70,60,40,0,30,120,60
12942,"$50,000 under $75,000",40,**,20,0,30,80,**
12942,"$75,000 under $100,000",40,20,20,0,20,80,20
12942,"$100,000 under $200,000",50,**,60,0,30,120,40
12942,"$200,000 or more",20,**,**,0,20,50,**
,,,,,,,,
12943,,210,110,90,0,110,350,70
12943,"$1 under $25,000",70,60,20,0,30,70,**
12943,"$25,000 under $50,000",50,50,**,0,30,90,30
12943,"$50,000 under $75,000",60,**,40,0,30,120,40
12943,"$75,000 under $100,000",**,**,**,0,**,**,**
12943,"$100,000 under $200,000",30,**,30,0,20,70,**
12943,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
12944,,"1,820",840,700,240,810,"3,320",910
12944,"$1 under $25,000",700,470,110,110,260,980,280
12944,"$25,000 under $50,000",520,250,160,90,210,950,270
12944,"$50,000 under $75,000",260,80,150,40,130,560,150
12944,"$75,000 under $100,000",170,40,130,**,90,400,100
12944,"$100,000 under $200,000",150,**,130,**,120,380,110
12944,"$200,000 or more",20,0,20,0,**,50,**
,,,,,,,,
12945,,330,150,150,20,120,580,140
12945,"$1 under $25,000",110,80,**,20,30,110,**
12945,"$25,000 under $50,000",80,50,50,**,30,140,40
12945,"$50,000 under $75,000",60,20,40,**,40,130,40
12945,"$75,000 under $100,000",40,**,30,**,**,100,30
12945,"$100,000 under $200,000",40,**,30,**,20,100,30
12945,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12946,,"2,780","1,570",910,240,"1,420","4,480","1,000"
12946,"$1 under $25,000",1010,800,110,90,440,1090,180
12946,"$25,000 under $50,000",730,490,130,90,280,1080,230
12946,"$50,000 under $75,000",390,160,180,40,220,750,170
12946,"$75,000 under $100,000",220,50,150,20,150,510,130
12946,"$100,000 under $200,000",300,40,240,**,220,730,200
12946,"$200,000 or more",130,30,100,**,110,320,90
,,,,,,,,
12950,,360,160,150,50,210,690,210
12950,"$1 under $25,000",140,90,30,**,70,190,50
12950,"$25,000 under $50,000",90,40,20,50,60,160,50
12950,"$50,000 under $75,000",60,30,30,**,40,140,50
12950,"$75,000 under $100,000",40,**,40,0,40,120,40
12950,"$100,000 under $200,000",30,**,30,**,**,80,20
12950,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12952,,250,110,120,30,140,480,120
12952,"$1 under $25,000",90,60,**,**,40,130,30
12952,"$25,000 under $50,000",80,50,50,30,40,150,40
12952,"$50,000 under $75,000",60,**,50,**,60,150,50
12952,"$75,000 under $100,000",**,**,**,**,**,**,**
12952,"$100,000 under $200,000",20,**,20,0,**,50,**
12952,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12953,,"4,730","2,260","1,730",690,"2,840","8,750","2,580"
12953,"$1 under $25,000",1920,1280,260,370,990,2690,800
12953,"$25,000 under $50,000",1180,610,340,210,700,2110,590
12953,"$50,000 under $75,000",690,260,340,70,460,1420,390
12953,"$75,000 under $100,000",430,70,340,40,290,1070,300
12953,"$100,000 under $200,000",430,40,380,**,330,1220,410
12953,"$200,000 or more",80,**,70,**,70,240,90
,,,,,,,,
12955,,150,70,70,0,90,270,60
12955,"$1 under $25,000",50,30,**,0,30,80,40
12955,"$25,000 under $50,000",40,40,40,0,20,60,**
12955,"$50,000 under $75,000",30,**,**,0,40,50,**
12955,"$75,000 under $100,000",30,**,30,0,**,80,20
12955,"$100,000 under $200,000",**,**,**,0,**,**,**
12955,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
12956,,520,220,180,90,320,970,310
12956,"$1 under $25,000",200,130,30,30,110,280,80
12956,"$25,000 under $50,000",140,60,40,40,100,260,90
12956,"$50,000 under $75,000",90,30,40,20,50,200,70
12956,"$75,000 under $100,000",50,**,40,**,30,130,40
12956,"$100,000 under $200,000",40,**,30,**,30,100,30
12956,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12957,,690,280,280,100,400,"1,370",430
12957,"$1 under $25,000",300,170,50,60,150,500,170
12957,"$25,000 under $50,000",190,80,70,40,110,370,110
12957,"$50,000 under $75,000",100,30,70,**,70,250,80
12957,"$75,000 under $100,000",60,**,50,**,40,130,30
12957,"$100,000 under $200,000",40,**,40,**,30,120,40
12957,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12958,,830,340,390,90,340,"1,580",450
12958,"$1 under $25,000",280,180,70,30,100,370,80
12958,"$25,000 under $50,000",230,110,70,60,80,420,130
12958,"$50,000 under $75,000",120,50,80,**,50,260,70
12958,"$75,000 under $100,000",90,**,70,**,50,220,60
12958,"$100,000 under $200,000",110,**,100,**,60,310,110
12958,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12959,,600,260,260,70,300,"1,150",310
12959,"$1 under $25,000",220,160,40,**,100,290,60
12959,"$25,000 under $50,000",180,70,60,70,80,340,100
12959,"$50,000 under $75,000",80,30,40,**,40,170,50
12959,"$75,000 under $100,000",60,**,60,**,30,160,40
12959,"$100,000 under $200,000",60,**,60,**,50,190,60
12959,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12960,,490,220,200,70,350,890,250
12960,"$1 under $25,000",170,110,30,20,110,210,50
12960,"$25,000 under $50,000",140,70,40,50,100,230,60
12960,"$50,000 under $75,000",70,40,40,**,50,160,40
12960,"$75,000 under $100,000",50,**,40,**,40,110,30
12960,"$100,000 under $200,000",60,**,50,**,50,180,70
12960,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12961,,110,50,50,0,80,200,50
12961,"$1 under $25,000",40,30,20,0,30,40,**
12961,"$25,000 under $50,000",20,20,**,0,30,30,**
12961,"$50,000 under $75,000",20,**,**,0,**,40,**
12961,"$75,000 under $100,000",30,**,30,0,20,90,50
12961,"$100,000 under $200,000",**,**,**,0,**,**,**
12961,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
12962,,"2,620","1,090","1,220",250,"1,130","5,010","1,370"
12962,"$1 under $25,000",790,580,110,90,250,930,200
12962,"$25,000 under $50,000",590,310,170,80,230,1000,250
12962,"$50,000 under $75,000",450,140,250,50,200,960,260
12962,"$75,000 under $100,000",290,40,220,30,160,710,200
12962,"$100,000 under $200,000",440,20,410,**,250,1240,400
12962,"$200,000 or more",60,**,60,**,40,170,60
,,,,,,,,
12965,,220,90,110,0,120,430,120
12965,"$1 under $25,000",100,60,30,0,50,160,40
12965,"$25,000 under $50,000",50,30,40,0,40,100,50
12965,"$50,000 under $75,000",30,**,**,0,**,60,**
12965,"$75,000 under $100,000",40,**,40,0,30,110,30
12965,"$100,000 under $200,000",**,**,**,0,**,**,**
12965,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
12966,,"1,190",520,510,160,710,"2,410",780
12966,"$1 under $25,000",450,290,90,70,240,670,210
12966,"$25,000 under $50,000",340,150,130,60,200,720,240
12966,"$50,000 under $75,000",190,60,110,30,130,440,140
12966,"$75,000 under $100,000",120,20,100,**,80,330,110
12966,"$100,000 under $200,000",90,**,80,**,60,250,80
12966,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12967,,460,200,190,60,260,"1,010",380
12967,"$1 under $25,000",170,100,40,30,80,290,110
12967,"$25,000 under $50,000",130,60,40,30,80,280,110
12967,"$50,000 under $75,000",70,40,40,**,40,170,60
12967,"$75,000 under $100,000",50,**,30,**,30,130,50
12967,"$100,000 under $200,000",40,**,40,**,30,140,50
12967,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12969,,190,90,80,0,110,320,70
12969,"$1 under $25,000",70,50,**,0,30,80,**
12969,"$25,000 under $50,000",60,40,50,0,40,110,40
12969,"$50,000 under $75,000",30,**,**,0,40,50,30
12969,"$75,000 under $100,000",30,**,30,0,**,80,**
12969,"$100,000 under $200,000",**,**,**,0,**,**,**
12969,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
12970,,150,80,60,0,70,240,40
12970,"$1 under $25,000",50,40,**,0,40,50,**
12970,"$25,000 under $50,000",40,40,30,0,**,50,**
12970,"$50,000 under $75,000",30,**,**,0,30,60,40
12970,"$75,000 under $100,000",30,**,30,0,**,80,**
12970,"$100,000 under $200,000",**,**,**,0,**,**,**
12970,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
12972,,"3,060","1,340","1,340",310,"1,360","5,830","1,650"
12972,"$1 under $25,000",960,730,130,90,360,1100,230
12972,"$25,000 under $50,000",680,360,180,110,270,1170,310
12972,"$50,000 under $75,000",500,160,250,70,230,1060,300
12972,"$75,000 under $100,000",350,50,260,40,170,870,270
12972,"$100,000 under $200,000",500,40,450,**,270,1430,480
12972,"$200,000 or more",70,**,70,0,60,200,60
,,,,,,,,
12974,,660,330,240,80,430,"1,160",290
12974,"$1 under $25,000",240,180,30,30,130,320,80
12974,"$25,000 under $50,000",200,100,50,50,140,340,90
12974,"$50,000 under $75,000",100,50,60,**,80,200,40
12974,"$75,000 under $100,000",70,**,60,**,50,170,40
12974,"$100,000 under $200,000",50,**,40,0,30,130,40
12974,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
12978,,210,100,70,30,90,350,100
12978,"$1 under $25,000",70,60,**,**,20,80,**
12978,"$25,000 under $50,000",60,40,**,30,20,100,50
12978,"$50,000 under $75,000",40,**,40,**,20,80,20
12978,"$75,000 under $100,000",40,**,30,**,30,90,30
12978,"$100,000 under $200,000",**,**,**,**,**,**,**
12978,"$200,000 or more",0,0,0,0,0,0,0
,,,,,,,,
12979,,"1,170",570,430,130,600,"2,060",550
12979,"$1 under $25,000",430,310,50,60,190,540,140
12979,"$25,000 under $50,000",290,170,70,40,150,470,110
12979,"$50,000 under $75,000",160,50,80,30,90,330,90
12979,"$75,000 under $100,000",130,40,90,**,80,300,80
12979,"$100,000 under $200,000",160,**,140,**,90,420,130
12979,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12980,,550,250,220,60,330,"1,020",280
12980,"$1 under $25,000",210,140,40,30,120,290,70
12980,"$25,000 under $50,000",160,70,50,30,90,300,90
12980,"$50,000 under $75,000",80,40,40,**,50,160,40
12980,"$75,000 under $100,000",50,**,40,**,40,120,30
12980,"$100,000 under $200,000",50,**,50,0,30,150,50
12980,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12981,,"1,100",490,470,110,580,"2,000",490
12981,"$1 under $25,000",340,230,60,40,140,440,100
12981,"$25,000 under $50,000",300,170,80,40,140,500,120
12981,"$50,000 under $75,000",170,60,90,30,100,340,80
12981,"$75,000 under $100,000",130,30,100,**,90,310,80
12981,"$100,000 under $200,000",160,**,140,**,110,410,110
12981,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12983,,"3,480","1,900","1,190",330,"1,440","5,830","1,390"
12983,"$1 under $25,000",1250,990,100,150,400,1400,290
12983,"$25,000 under $50,000",880,570,160,120,310,1360,310
12983,"$50,000 under $75,000",530,220,250,40,260,1010,220
12983,"$75,000 under $100,000",300,60,230,20,140,700,180
12983,"$100,000 under $200,000",430,60,380,**,260,1150,340
12983,"$200,000 or more",90,**,70,**,70,210,50
,,,,,,,,
12985,,490,220,200,70,190,910,240
12985,"$1 under $25,000",190,130,30,30,60,270,70
12985,"$25,000 under $50,000",140,60,50,40,50,260,70
12985,"$50,000 under $75,000",80,30,50,**,40,170,40
12985,"$75,000 under $100,000",40,**,40,**,20,110,30
12985,"$100,000 under $200,000",40,**,30,**,20,100,30
12985,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
12986,,"2,630","1,240",920,410,"1,260","4,640","1,220"
12986,"$1 under $25,000",850,600,100,130,330,1060,240
12986,"$25,000 under $50,000",740,390,150,180,340,1250,370
12986,"$50,000 under $75,000",510,190,220,100,280,990,260
12986,"$75,000 under $100,000",230,30,180,**,120,570,150
12986,"$100,000 under $200,000",270,30,240,**,160,690,200
12986,"$200,000 or more",30,0,30,0,30,80,**
,,,,,,,,
12987,,110,60,60,0,60,200,40
12987,"$1 under $25,000",50,40,30,0,40,60,**
12987,"$25,000 under $50,000",30,20,**,0,**,60,40
12987,"$50,000 under $75,000",**,**,**,0,**,**,**
12987,"$75,000 under $100,000",30,**,30,0,20,80,**
12987,"$100,000 under $200,000",**,**,**,0,**,**,**
12987,"$200,000 or more",**,**,**,0,**,**,**
,,,,,,,,
12989,,450,200,200,30,180,760,160
